code;answer
"Χ ← 5\nΥ ← 2\nΖ ← Χ DIV Υ + Χ MOD Υ\nΓΡΑΨΕ Ζ | Ποια είναι η τιμή του Ζ?";3
"Α ← 10\nΒ ← 20\nΑ ← Β\nΒ ← Α\nΓΡΑΨΕ Α | Ποια είναι η τιμή του Α?";20
"Σ ← 0\nΓΙΑ i ΑΠΟ 1 ΜΕΧΡΙ 10 ΜΕ_ΒΗΜΑ 3\n    Σ ← Σ + 1\nΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ | Πόσες φορές εκτελέστηκε ο βρόχος?";4
"Χ ← 1\nΟΣΟ Χ < 10 ΕΠΑΝΑΛΑΒΕ\n    Χ ← Χ * 3\nΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ | Ποια είναι η τελική τιμή του Χ?";27
"Α ← ΨΕΥΔΗΣ\nΒ ← ΑΛΗΘΗΣ\nΓ ← (ΟΧΙ Α) ΚΑΙ Β\nΓΡΑΨΕ Γ | Είναι ΑΛΗΘΗΣ ή ΨΕΥΔΗΣ?";ΑΛΗΘΗΣ
"Α ← 5\nΒ ← 12\nΑΝ Β MOD Α = 2 ΤΟΤΕ\n    Χ ← 1\nΑΛΛΙΩΣ\n    Χ ← 2\nΤΕΛΟΣ_ΑΝ\nΓΡΑΨΕ Χ | Ποια είναι η τιμή του Χ?";1
"Σ ← 0\nΓΙΑ i ΑΠΟ 1 ΜΕΧΡΙ 5\n    ΑΝ i MOD 2 <> 0 ΤΟΤΕ\n        Σ ← Σ + i\n    ΤΕΛΟΣ_ΑΝ\nΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ | Ποια είναι η τελική τιμή του Σ?";9
"Κ ← 10\nΑΡΧΗ_ΕΠΑΝΑΛΗΨΗΣ\n    Κ ← Κ - 3\nΜΕΧΡΙΣ_ΟΤΟΥ Κ < 2 | Πόσες φορές εκτελέστηκε ο βρόχος?";3
"Α ← 20\nΒ ← 26\nΓ ← Α + Β\nΓΡΑΨΕ Γ | Ποιο είναι το αποτέλεσμα?";46
"Χ ← 10\nΥ ← 5\nΑΝ Χ > Υ ΤΟΤΕ\n    Χ ← Υ\n    Υ ← Χ\nΤΕΛΟΣ_ΑΝ | Ποια είναι η τελική τιμή του Υ?";5
"Σ ← 0\nΓΙΑ i ΑΠΟ 10 ΜΕΧΡΙ 1 ΜΕ_ΒΗΜΑ -2\n    Σ ← Σ + 1\nΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ | Πόσες φορές εκτελέστηκε ο βρόχος?";5
"Α ← 10\nΒ ← 3\nΧ ← (Α DIV Β) ^ 2\nΓΡΑΨΕ Χ | Ποια είναι η τιμή του Χ?";9
"Χ ← 1\nΟΣΟ Χ <= 5 ΕΠΑΝΑΛΑΒΕ\n    Χ ← Χ + 2\nΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ | Ποια είναι η τελική τιμή του Χ?";7
"Α ← 2\nΒ ← 3\nΓ ← 4\nΔ ← Α + Β * Γ\nΓΡΑΨΕ Δ | Ποια είναι η τιμή του Δ?";14
"Χ ← 10\nΑΝ Χ > 10 ΤΟΤΕ\n    Α ← 1\nΑΛΛΙΩΣ_ΑΝ Χ = 10 ΤΟΤΕ\n    Α ← 2\nΑΛΛΙΩΣ\n    Α ← 3\nΤΕΛΟΣ_ΑΝ\nΓΡΑΨΕ Α | Ποια είναι η τιμή του Α?";2
"Α ← 1\nΒ ← 2\nΓ ← 3\nΑΝ (Α < Β) ΚΑΙ (Β > Γ) ΤΟΤΕ\n    Χ ← 10\nΑΛΛΙΩΣ\n    Χ ← 20\nΤΕΛΟΣ_ΑΝ\nΓΡΑΨΕ Χ | Ποια είναι η τιμή του Χ?";20
"Σ ← 0\nΓΙΑ i ΑΠΟ 1 ΜΕΧΡΙ 4\n    Σ ← Σ + i\nΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ | Ποια είναι η τελική τιμή του Σ?";10
"Α ← 100\nΒ ← 7\nΧ ← Α MOD (Β DIV 2)\nΓΡΑΨΕ Χ | Ποια είναι η τιμή του Χ?";1
"Χ ← 0\nΑΡΧΗ_ΕΠΑΝΑΛΗΨΗΣ\n    Χ ← Χ + 5\nΜΕΧΡΙΣ_ΟΤΟΥ Χ >= 15 | Πόσες φορές εκτελέστηκε ο βρόχος?";3
"Α ← 10\nΒ ← 3\nΑ ← Α MOD Β\nΒ ← Α + 1\nΓΡΑΨΕ Β | Ποια είναι η τιμή του Β?";2
"Χ ← 1\nΓΙΑ i ΑΠΟ 1 ΜΕΧΡΙ 3\n    Χ ← Χ * i\nΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ | Ποια είναι η τελική τιμή του Χ?";6
"Α ← 1\nΒ ← 2\nΑΝ Α > Β Ή Α < Β ΤΟΤΕ\n    Χ ← 10\nΑΛΛΙΩΣ\n    Χ ← 0\nΤΕΛΟΣ_ΑΝ\nΓΡΑΨΕ Χ | Ποια είναι η τιμή του Χ?";10
"Κ ← 0\nΓΙΑ i ΑΠΟ 1 ΜΕΧΡΙ 10 ΜΕ_ΒΗΜΑ 4\n    Κ ← Κ + i\nΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ | Ποια είναι η τελική τιμή του Κ?";14
"Χ ← 15\nΥ ← 4\nΖ ← Χ DIV (Υ - 1)\nΓΡΑΨΕ Ζ | Ποια είναι η τιμή του Ζ?";5
"Α ← 0\nΟΣΟ Α < 5 ΕΠΑΝΑΛΑΒΕ\n    Α ← Α + 2.5\nΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ | Πόσες φορές εκτελέστηκε ο βρόχος?";2
"Χ ← 5\nΥ ← 10\nΑΝ (Χ < Υ) ΚΑΙ (Υ MOD Χ = 0) ΤΟΤΕ\n    Ζ ← 1\nΑΛΛΙΩΣ\n    Ζ ← 0\nΤΕΛΟΣ_ΑΝ\nΓΡΑΨΕ Ζ | Ποια είναι η τιμή του Ζ?";1
"Σ ← 0\nΓΙΑ i ΑΠΟ 1 ΜΕΧΡΙ 100\n    Σ ← 5\nΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ | Ποια είναι η τελική τιμή του Σ?";5
"Α ← 2 ^ 2 ^ 2\nΓΡΑΨΕ Α | Ποια είναι η τιμή του Α?";16
"Χ ← 10\nΑΡΧΗ_ΕΠΑΝΑΛΗΨΗΣ\n    Χ ← Χ - 2\nΜΕΧΡΙΣ_ΟΤΟΥ Χ = 4 | Πόσες φορές εκτελέστηκε ο βρόχος?";3
"Α ← ""ΑΒ""\nΒ ← ""ΓΔ""\nΓ ← Β + Α\nΓΡΑΨΕ Γ | Τι θα εμφανιστεί?";ΓΔΑΒ
"Χ ← 10\nΥ ← 3\nΖ ← Χ MOD (Υ + 1)\nΓΡΑΨΕ Ζ | Ποια είναι η τιμή του Ζ?";2
"Α ← ΑΛΗΘΗΣ\nΒ ← ΨΕΥΔΗΣ\nΓ ← ΟΧΙ (Α ΚΑΙ Β)\nΓΡΑΨΕ Γ | Είναι ΑΛΗΘΗΣ ή ΨΕΥΔΗΣ?";ΑΛΗΘΗΣ
"Σ ← 0\nΓΙΑ i ΑΠΟ 1 ΜΕΧΡΙ 5\n    Σ ← Σ + 10\nΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ | Ποια είναι η τελική τιμή του Σ?";50
"Α ← 15\nΒ ← 10\nΑΝ Α < Β ΤΟΤΕ\n    Χ ← Α\nΑΛΛΙΩΣ_ΑΝ Α > Β ΤΟΤΕ\n    Χ ← Β\nΤΕΛΟΣ_ΑΝ\nΓΡΑΨΕ Χ | Ποια είναι η τιμή του Χ?";10
"Κ ← 1\nΟΣΟ Κ <= 10 ΕΠΑΝΑΛΑΒΕ\n    Κ ← Κ + 3\nΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ | Πόσες φορές εκτελέστηκε ο βρόχος?";4
"Χ ← 8\nΥ ← 2\nΖ ← Χ ^ (1/Υ)\nΓΡΑΨΕ Ζ | Ποια είναι η τιμή του Ζ?";2
"Α ← 5\nΒ ← 2\nΓ ← Α * (Β + 1) MOD 4\nΓΡΑΨΕ Γ | Ποια είναι η τιμή του Γ?";3
"Σ ← 1\nΓΙΑ i ΑΠΟ 1 ΜΕΧΡΙ 4\n    Σ ← Σ + i\nΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ | Ποια είναι η τιμή του Σ?";11
"Χ ← 12\nΑΝ Χ MOD 3 = 0 ΚΑΙ Χ MOD 4 = 0 ΤΟΤΕ\n    Α ← 1\nΑΛΛΙΩΣ\n    Α ← 0\nΤΕΛΟΣ_ΑΝ\nΓΡΑΨΕ Α | Ποια είναι η τιμή του Α?";1
"Κ ← 10\nΑΡΧΗ_ΕΠΑΝΑΛΗΨΗΣ\n    Κ ← Κ DIV 2\nΜΕΧΡΙΣ_ΟΤΟΥ Κ <= 2 | Ποια είναι η τελική τιμή του Κ?";2
"Α ← 7\nΒ ← 3\nΧ ← (Α + Β) DIV 2\nΓΡΑΨΕ Χ | Ποια είναι η τιμή του Χ?";5
"Χ ← 0\nΓΙΑ i ΑΠΟ 5 ΜΕΧΡΙ 1 ΜΕ_ΒΗΜΑ -1\n    Χ ← Χ + 1\nΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ | Ποια είναι η τιμή του Χ?";5
"Α ← 10\nΒ ← 5\nΑΝ (Α + Β) / 3 = 5 ΤΟΤΕ\n    Χ ← ""ΝΑΙ""\nΑΛΛΙΩΣ\n    Χ ← ""ΟΧΙ""\nΤΕΛΟΣ_ΑΝ\nΓΡΑΨΕ Χ | Τι θα εμφανιστεί?";ΝΑΙ
"Σ ← 0\nΚ ← 1\nΟΣΟ Κ < 4 ΕΠΑΝΑΛΑΒΕ\n    Σ ← Σ + Κ\n    Κ ← Κ + 1\nΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ | Ποια είναι η τιμή του Σ?";6
"Α ← 10\nΒ ← 2\nΓ ← Α ^ Β / 4\nΓΡΑΨΕ Γ | Ποια είναι η τιμή του Γ?";25
"Χ ← 1\nΓΙΑ i ΑΠΟ 1 ΜΕΧΡΙ 3\n    Χ ← Χ + 1\nΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ | Ποια είναι η τελική τιμή του i?";4
"Α ← ΨΕΥΔΗΣ\nΒ ← ΨΕΥΔΗΣ\nΓ ← Α Ή (ΟΧΙ Β)\nΓΡΑΨΕ Γ | Είναι ΑΛΗΘΗΣ ή ΨΕΥΔΗΣ?";ΑΛΗΘΗΣ
"Κ ← 100\nΚ ← Κ MOD 10 MOD 10\nΓΡΑΨΕ Κ | Ποια είναι η τιμή του Κ?";0
"Χ ← 2\nΓΙΑ i ΑΠΟ 1 ΜΕΧΡΙ 2\n    Χ ← Χ ^ 2\nΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ | Ποια είναι η τελική τιμή του Χ?";16
"Α ← 15\nΒ ← Α DIV 4\nΓ ← Α MOD 4\nΓΡΑΨΕ Β + Γ | Ποιο είναι το αποτέλεσμα?";6
"Σ ← 0\nΓΙΑ i ΑΠΟ 2 ΜΕΧΡΙ 6 ΜΕ_ΒΗΜΑ 2\n    Σ ← Σ + i\nΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ | Ποια είναι η τιμή του Σ?";12
"Χ ← 10\nΥ ← 5\nΑΝ Χ > Υ ΤΟΤΕ\n    Χ ← Χ - Υ\nΤΕΛΟΣ_ΑΝ | Ποια είναι η τιμή του Χ?";5
"Κ ← 5\nΑΡΧΗ_ΕΠΑΝΑΛΗΨΗΣ\n    Κ ← Κ + 1\nΜΕΧΡΙΣ_ΟΤΟΥ Κ > 5 | Πόσες φορές εκτελέστηκε ο βρόχος?";1
"Α ← 1\nΒ ← 1\nΟΣΟ Α + Β < 5 ΕΠΑΝΑΛΑΒΕ\n    Α ← Α + 1\n    Β ← Β + 1\nΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ | Ποια είναι η τιμή του Α?";3
"Χ ← 10\nΥ ← 2\nΖ ← Χ * Υ ^ 2\nΓΡΑΨΕ Ζ | Ποια είναι η τιμή του Ζ?";40
"Α ← 5\nΒ ← 5\nΑΝ Α <= Β ΤΟΤΕ\n    Χ ← 100\nΤΕΛΟΣ_ΑΝ\nΓΡΑΨΕ Χ | Ποια είναι η τιμή του Χ?";100
"Σ ← 0\nΓΙΑ i ΑΠΟ 1 ΜΕΧΡΙ 10 ΜΕ_ΒΗΜΑ 5\n    Σ ← Σ + i\nΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ | Ποια είναι η τιμή του Σ?";7
"Κ ← 30\nΛ ← 20\nΚ ← Κ - Λ\nΛ ← Κ + Λ\nΚ ← Λ - Κ\nΓΡΑΨΕ Κ | Ποια είναι η τιμή του Κ?";20
"Α ← 10\nΒ ← 3\nΧ ← (Α MOD Β) ^ 3\nΓΡΑΨΕ Χ | Ποια είναι η τιμή του Χ?";1
"Χ ← 0\nΓΙΑ i ΑΠΟ 1 ΜΕΧΡΙ 3\n    ΓΙΑ j ΑΠΟ 1 ΜΕΧΡΙ 2\n        Χ ← Χ + 1\n    ΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ\nΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ | Ποια είναι η τιμή του Χ?";6
"Α ← ΑΛΗΘΗΣ\nΒ ← ΑΛΗΘΗΣ\nΓ ← ΟΧΙ (Α Ή Β)\nΓΡΑΨΕ Γ | Είναι ΑΛΗΘΗΣ ή ΨΕΥΔΗΣ?";ΨΕΥΔΗΣ
"Κ ← 0\nΟΣΟ Κ < 10 ΕΠΑΝΑΛΑΒΕ\n    Κ ← Κ + 4\nΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ | Ποια είναι η τελική τιμή του Κ?";12
"Χ ← 25\nΥ ← Χ DIV 5 MOD 2\nΓΡΑΨΕ Υ | Ποια είναι η τιμή του Υ?";1
"Α ← 10\nΒ ← 2\nΓ ← Α / Β * 2\nΓΡΑΨΕ Γ | Ποια είναι η τιμή του Γ?";10
"Σ ← 0\nΓΙΑ i ΑΠΟ 1 ΜΕΧΡΙ 5\n    ΑΝ i = 3 ΤΟΤΕ\n        Σ ← Σ + 10\n    ΑΛΛΙΩΣ\n        Σ ← Σ + 1\n    ΤΕΛΟΣ_ΑΝ\nΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ | Ποια είναι η τιμή του Σ?";14
"Χ ← 1\nΑΡΧΗ_ΕΠΑΝΑΛΗΨΗΣ\n    Χ ← Χ * 2\nΜΕΧΡΙΣ_ΟΤΟΥ Χ > 10 | Ποια είναι η τελική τιμή του Χ?";16
"Α ← 50\nΒ ← 2\nΓ ← Α / (Β * 5)\nΓΡΑΨΕ Γ | Ποια είναι η τιμή του Γ?";5
"Κ ← 0\nΓΙΑ i ΑΠΟ 1 ΜΕΧΡΙ 3\n    Κ ← Κ + i * 2\nΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ | Ποια είναι η τιμή του Κ?";12
"Χ ← 10\nΑΝ Χ MOD 2 = 0 ΤΟΤΕ\n    Χ ← Χ DIV 2\nΤΕΛΟΣ_ΑΝ | Ποια είναι η τιμή του Χ?";5
"Α ← ""ΑΒΓ""\nΒ ← ΜΗΚΟΣ(Α)\nΓΡΑΨΕ Β | Ποιο είναι το αποτέλεσμα?";3
"Σ ← 100\nΓΙΑ i ΑΠΟ 1 ΜΕΧΡΙ 3\n    Σ ← Σ - 10\nΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ | Ποια είναι η τιμή του Σ?";70
"Χ ← 5\nΥ ← 5\nΖ ← Χ ^ 2 + Υ ^ 2\nΓΡΑΨΕ Ζ | Ποια είναι η τιμή του Ζ?";50
"Α ← 10\nΒ ← 2\nΑΝ Α DIV Β = 5 ΤΟΤΕ\n    Χ ← 1\nΑΛΛΙΩΣ\n    Χ ← 0\nΤΕΛΟΣ_ΑΝ\nΓΡΑΨΕ Χ | Ποια είναι η τιμή του Χ?";1
"Κ ← 1\nΟΣΟ Κ < 10 ΕΠΑΝΑΛΑΒΕ\n    Κ ← Κ + 5\nΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ | Πόσες φορές εκτελέστηκε ο βρόχος?";2
"Χ ← 10\nΥ ← 2\nΖ ← Χ / Υ / Υ\nΓΡΑΨΕ Ζ | Ποια είναι η τιμή του Ζ?";2.5
"Α ← 0\nΓΙΑ i ΑΠΟ 1 ΜΕΧΡΙ 4\n    ΑΝ i MOD 2 = 0 ΤΟΤΕ\n        Α ← Α + i\n    ΤΕΛΟΣ_ΑΝ\nΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ | Ποια είναι η τιμή του Α?";6
"Σ ← 0\nΚ ← 10\nΟΣΟ Κ > 0 ΕΠΑΝΑΛΑΒΕ\n    Σ ← Σ + 1\n    Κ ← Κ - 4\nΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ | Ποια είναι η τιμή του Σ?";3
"Α ← 10\nΒ ← 20\nΑΝ (Α < Β) ΚΑΙ (Β < 30) ΤΟΤΕ\n    Χ ← 5\nΤΕΛΟΣ_ΑΝ\nΓΡΑΨΕ Χ | Ποια είναι η τιμή του Χ?";5
"Χ ← 1\nΓΙΑ i ΑΠΟ 1 ΜΕΧΡΙ 5 ΜΕ_ΒΗΜΑ 2\n    Χ ← Χ + i\nΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ | Ποια είναι η τιμή του Χ?";10
"Α ← 10\nΒ ← 3\nΓ ← Α MOD (Β + 1)\nΓΡΑΨΕ Γ | Ποια είναι η τιμή του Γ?";2
"Κ ← 2\nΑΡΧΗ_ΕΠΑΝΑΛΗΨΗΣ\n    Κ ← Κ * 2\nΜΕΧΡΙΣ_ΟΤΟΥ Κ >= 8 | Πόσες φορές εκτελέστηκε ο βρόχος?";2
"Χ ← 100\nΥ ← 200\nΧ ← Υ\nΥ ← Χ\nΓΡΑΨΕ Υ | Ποια είναι η τιμή του Υ?";200
"Σ ← 0\nΓΙΑ i ΑΠΟ 1 ΜΕΧΡΙ 3\n    Σ ← Σ + i ^ 2\nΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ | Ποια είναι η τιμή του Σ?";14
"Α ← 5\nΒ ← 2\nΓ ← Α MOD Β * 10\nΓΡΑΨΕ Γ | Ποια είναι η τιμή του Γ?";10
"Χ ← 1\nΟΣΟ Χ < 5 ΕΠΑΝΑΛΑΒΕ\n    Χ ← Χ + 1\nΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ | Ποια είναι η τελική τιμή του Χ?";5
"Α ← 10\nΒ ← 10\nΑΝ Α <> Β ΤΟΤΕ\n    Χ ← 1\nΑΛΛΙΩΣ\n    Χ ← 0\nΤΕΛΟΣ_ΑΝ\nΓΡΑΨΕ Χ | Ποια είναι η τιμή του Χ?";0
"Κ ← 0\nΓΙΑ i ΑΠΟ 1 ΜΕΧΡΙ 10 ΜΕ_ΒΗΜΑ 3\n    Κ ← Κ + 1\nΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ | Ποια είναι η τιμή του Κ?";4
"Χ ← 40\nΥ ← 2\nΖ ← Χ / (Υ + Υ)\nΓΡΑΨΕ Ζ | Ποια είναι η τιμή του Ζ?";10
"Α ← 1\nΟΣΟ Α < 10 ΕΠΑΝΑΛΑΒΕ\n    Α ← Α * 4\nΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ | Ποια είναι η τελική τιμή του Α?";16
"Σ ← 0\nΓΙΑ i ΑΠΟ 1 ΜΕΧΡΙ 3\n    ΓΙΑ j ΑΠΟ 1 ΜΕΧΡΙ i\n        Σ ← Σ + 1\n    ΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ\nΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ | Ποια είναι η τιμή του Σ?";6
"Α ← 15\nΒ ← 5\nΑΝ Α MOD Β = 0 ΤΟΤΕ\n    Χ ← Α DIV Β\nΤΕΛΟΣ_ΑΝ\nΓΡΑΨΕ Χ | Ποια είναι η τιμή του Χ?";3
"Κ ← 10\nΑΡΧΗ_ΕΠΑΝΑΛΗΨΗΣ\n    Κ ← Κ - 5\nΜΕΧΡΙΣ_ΟΤΟΥ Κ <= 0 | Ποια είναι η τελική τιμή του Κ?";0
"Χ ← 2\nΥ ← 3\nΖ ← (Χ + Υ) ^ 2\nΓΡΑΨΕ Ζ | Ποια είναι η τιμή του Ζ?";25
"Α ← 10\nΒ ← 2\nΓ ← Α ^ 2 / Β\nΓΡΑΨΕ Γ | Ποια είναι η τιμή του Γ?";50
"Σ ← 0\nΓΙΑ i ΑΠΟ 1 ΜΕΧΡΙ 4\n    ΑΝ i > 2 ΤΟΤΕ\n        Σ ← Σ + i\n    ΤΕΛΟΣ_ΑΝ\nΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ | Ποια είναι η τιμή του Σ?";7
"Χ ← 5\nΟΣΟ Χ <= 15 ΕΠΑΝΑΛΑΒΕ\n    Χ ← Χ + 5\nΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ | Πόσες φορές εκτελέστηκε ο βρόχος?";3
"Α ← 1\nΒ ← 2\nΓ ← 3\nΧ ← Α + Β * Γ - Α\nΓΡΑΨΕ Χ | Ποια είναι η τιμή του Χ?";6
"Σ ← 0\nΓΙΑ i ΑΠΟ 10 ΜΕΧΡΙ 2 ΜΕ_ΒΗΜΑ -4\n    Σ ← Σ + i\nΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ | Ποια είναι η τιμή του Σ?";18
"Κ ← 1\nΑΡΧΗ_ΕΠΑΝΑΛΗΨΗΣ\n    Κ ← Κ + 2\nΜΕΧΡΙΣ_ΟΤΟΥ Κ > 5 | Ποια είναι η τελική τιμή του Κ?";7